BinBase name	ret.index	quant mz	BB id	PubChem	KEGG	InChI Key	KnownUnknown	Cut into 2 clusters
119026	944065	156	119026				Unknown	1
117195	623649	117	117195				Unknown	1
117024	417882	255	117024				Unknown	1
112556	732249	202	112556				Unknown	1
111821	604502	89	111821				Unknown	1
110647	801265	98	110647				Unknown	1
110570	220474	141	110570				Unknown	1
110183	789271	160	110183				Unknown	1
110170	995815	218	110170				Unknown	1
110008	983135	174	110008				Unknown	1
109397	687079	204	109397				Unknown	1
109383	882471	210	109383				Unknown	1
107890	445793	158	107890				Unknown	1
107466	432173	114	107466				Unknown	1
106900	430798	172	106900				Unknown	1
106482	772969	128	106482				Unknown	1
105379	557517	109	105379				Unknown	1
103886	228732	165	103886				Unknown	1
103102	373630	117	103102				Unknown	1
102624	292984	171	102624				Unknown	1
101299	214650	177	101299				Unknown	1
100876	822996	217	100876				Unknown	1
98027	794158	217	98027				Unknown	1
95440	952240	132	95440				Unknown	1
91421	280725	86	91421				Unknown	1
87713	742967	129	87713				Unknown	1
87284	776238	217	87284				Unknown	1
84682	508958	268	84682				Unknown	1
84209	864360	174	84209				Unknown	1
84088	475100	116	84088				Unknown	1
66256	197752	102	66256				Unknown	1
54642	1030153	243	54642				Unknown	1
50367	1030810	357	50367				Unknown	1
48419	225634	85	48419				Unknown	1
46292	296272	211	46292				Unknown	1
46128	841283	159	46128				Unknown	1
43100	414838	88	43100				Unknown	1
41989	323785	248	41989				Unknown	1
41683	579857	205	41683				Unknown	1
34126	200032	102	34126				Unknown	1
34089	604262	117	34089				Unknown	1
34028	612737	86	34028				Unknown	1
33401	978413	277	33401				Unknown	1
32528	573554	166	32528				Unknown	1
31960	485306	129	31960				Unknown	1
31695	630679	292	31695				Unknown	1
31664	544826	205	31664				Unknown	1
31556	913814	246	31556				Unknown	1
31359	457416	85	31359				Unknown	1
31285	372067	85	31285				Unknown	1
31169	937734	129	31169				Unknown	1
23635	308124	85	23635				Unknown	1
22885	770939	95	22885				Unknown	1
22444	331691	229	22444				Unknown	1
21683	524126	211	21683				Unknown	1
18082	252134	85	18082				Unknown	1
17664	227179	173	17664				Unknown	1
17463	694324	204	17463				Unknown	1
